Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
 ERGOVENT RONDO 160;Bezramowy nawiewnik wentylacyjny ERGOVENT RONDO 160;307,52;256,27;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;1,00;615,04
30X20X1,2 L-2000 INTERFIX;Profil montażowy 30x20x1,2 L-2000 Interfix;12,04;10,03;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;12,04
AKUFLEX 100/1,2;Tłumik elastyczny fi 100 L-1200 AKUFLEX;98,44;85,60;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;1,00;0,00;0,00;0,00;295,32
AKUFLEX 125/0,6;Tłumik elastyczny fi 125 L-600 AKUFLEX;84,76;73,70;Stan towaru powyżej ilości minimalnej;6,00;SZT;TP;6,00;0,50;0,00;0,00;5,00;508,56
AKUFLEX 125/1,2;Tłumik elastyczny fi 125 L-1200 AKUFLEX;116,15;101,00;Stan towaru powyżej ilości minimalnej;7,00;SZT;TP;7,00;0,00;0,00;0,00;7,00;813,05
AKUFLEX 200/0,6;Tłumik elastyczny fi 200 L-600 AKUFLEX;126,85;110,30;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;634,25
AKUFLEX 200/1,2;Tłumik elastyczny fi 200 L-1200 AKUFLEX;164,80;143,30;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;2,50;0,00;0,00;11,00;824,00
AKUFLEX 250/0,6;Tłumik elastyczny fi 250 L-600 AKUFLEX;155,25;135,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;1,00;0,00;0,00;0,00;621,00
AKUFLEX 250/1,2;Tłumik elastyczny fi 250 L-1200 AKUFLEX;197,80;172,00;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;1,00;0,00;0,00;10,00;989,00
AKUFLEX 315/0,6;Tłumik elastyczny fi 315 L-600 AKUFLEX;207,58;180,50;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,00;0,00;0,00;0,00;830,32
